movie_title,domestic_total_gross,worldwide_total_gross,opening_weekend_rev,budget,runtime_minutes,IMDb_rating,time_between_sequel,sequel_worldwide_total_gross,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,Horror,Sci-Fi,Thriller,G,NC-17,PG,PG-13,R
Spider-Man: Homecoming,334201140.0,880166924.0,117027503.0,175000000.0,133.0,7.4,1.984982580066668,1131927996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sin City,74103820.0,158733820.0,28100000.0,40000000.0,124.0,8.0,9.391021033970581,39407616.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
How to Train Your Dragon,217581231.0,494878759.0,43732319.0,165000000.0,98.0,8.1,4.216376790762301,621537519.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
How to Train Your Dragon 2,177002924.0,621537519.0,49451322.0,145000000.0,102.0,7.8,4.695510516985291,524513717.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Toy Story,222498679.0,404265656.0,29140617.0,30000000.0,81.0,8.3,4.005557951224187,497374776.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Toy Story 2,245852179.0,497374776.0,300163.0,90000000.0,92.0,7.9,10.56558313996865,1066969703.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Toy Story 3,415004880.0,1066969703.0,110307189.0,200000000.0,103.0,8.3,9.00771405299219,1073394593.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Annabelle,84273813.0,257047661.0,37134255.0,6500000.0,99.0,5.4,2.8556370082890137,306515884.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Annabelle: Creation,102092201.0,306515884.0,35006404.0,15000000.0,109.0,6.5,1.8727283927801393,231252591.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
The Conjuring,137400141.0,319501756.0,41855326.0,20000000.0,112.0,7.5,2.8939677063868525,320392818.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
The Conjuring 2,102470008.0,320392818.0,40406314.0,40000000.0,134.0,7.3,4.9829907527190835,217611052.4190028,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Angry Birds,107509366.0,352333929.0,38155177.0,73000000.0,97.0,6.3,3.2334681752534276,147792047.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
It,328828874.0,701796444.0,123403419.0,35000000.0,135.0,7.3,1.9931963010876335,473093228.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Zombieland,75590286.0,102392080.0,24733155.0,23600000.0,88.0,7.6,10.042642901633846,122810399.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Frozen,400738009.0,1280803377.0,243390.0,150000000.0,102.0,7.4,5.985064717276877,1450026933.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Drunken Master,95747843.589292,217611052.4207837,26418055.19335091,50165288.693666264,111.0,7.5,22.042889313264475,11555430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
